index,wnid,imagenet_label,train_count,val_count
242,n02108089,boxer,1300,50
978,n09428293,seashore,1268,50
267,n02113799,standard_poodle,1248,50
827,n04330267,stove,1196,50
867,n04467665,trailer_truck,1192,50
232,n02106166,Border_collie,1188,50
236,n02107142,Doberman,1162,50
207,n02099601,golden_retriever,1069,50
253,n02110806,basenji,1054,50
159,n02087394,Rhodesian_ridgeback,1040,50
247,n02109525,Saint_Bernard,1037,50
215,n02101388,Brittany_spaniel,987,50
213,n02100877,Irish_setter,985,50
248,n02109961,Eskimo_dog,977,50
205,n02099267,flat-coated_retriever,931,50
214,n02101006,Gordon_setter,925,50
246,n02109047,Great_Dane,914,50
211,n02100583,vizsla,907,50
235,n02106662,German_shepherd,901,50
707,n03902125,pay-phone,896,50
619,n03637318,lampshade,876,50
244,n02108551,Tibetan_mastiff,859,50
528,n03187595,dial_telephone,854,50
793,n04209133,shower_cap,853,50
430,n02802426,basketball,850,50
187,n02094433,Yorkshire_terrier,834,50
273,n02115641,dingo,833,50
179,n02093256,Staffordshire_bullterrier,829,50
825,n04326547,stone_wall,822,50
294,n02132136,brown_bear,817,50
646,n03733281,maze,803,50
974,n09288635,geyser,791,50
695,n03874599,padlock,780,50
154,n02086079,Pekinese,776,50
866,n04465501,tractor,759,50
975,n09332890,lakeside,753,50
800,n04243546,slot,747,50
259,n02112018,Pomeranian,739,50
324,n02280649,cabbage_butterfly,738,50
744,n04008634,projectile,734,50
979,n09468604,valley,730,50
315,n02236044,mantis,729,50
256,n02111277,Newfoundland,728,50
156,n02086646,Blenheim_spaniel,726,50
526,n03179701,desk,725,50
972,n09246464,cliff,721,50
101,n01871265,tusker,720,50
612,n03599486,jinrikisha,718,50
960,n07836838,chocolate_sauce,718,50
301,n02165456,ladybug,717,50
311,n02226429,grasshopper,717,50
672,n03792972,mountain_tent,715,50
28,n01632458,spotted_salamander,714,50
99,n01855672,goose,710,50
151,n02085620,Chihuahua,709,50
768,n04118538,rugby_ball,708,50
212,n02100735,English_setter,706,50
150,n02077923,sea_lion,704,50
275,n02116738,African_hunting_dog,703,50
977,n09421951,sandbar,702,50
122,n01983481,American_lobster,693,50
326,n02281787,lycaenid,692,50
462,n02906734,broom,689,50
765,n04099969,rocking_chair,689,50
815,n04275548,spider_web,688,50
862,n04456115,torch,687,50
694,n03874293,paddlewheel,686,50
806,n04254777,sock,684,50
31,n01644373,tree_frog,683,50
