level,node_name,parent_name,class_count,train_count,val_count,path
0,entity,,1000,544546,50000,entity
1,abstraction,entity,3,1514,150,entity > abstraction
1,physical entity,entity,997,543032,49850,entity > physical entity
2,attribute,abstraction,1,475,50,entity > abstraction > attribute
2,communication,abstraction,2,1039,100,entity > abstraction > communication
2,matter,physical entity,49,27484,2450,entity > physical entity > matter
2,object,physical entity,948,515548,47400,entity > physical entity > object
3,shape,attribute,1,475,50,entity > abstraction > attribute > shape
3,sign,communication,1,494,50,entity > abstraction > communication > sign
3,signal,communication,1,545,50,entity > abstraction > communication > signal
3,solid,matter,26,14455,1300,entity > physical entity > matter > solid
3,substance,matter,23,13029,1150,entity > physical entity > matter > substance
3,geological formation,object,10,7165,500,entity > physical entity > object > geological formation
3,location,object,1,540,50,entity > physical entity > object > location
3,part,object,5,2639,250,entity > physical entity > object > part
3,whole,object,932,505204,46600,entity > physical entity > object > whole
4,round shape,shape,1,475,50,entity > abstraction > attribute > shape > round shape
4,street sign,sign,1,494,50,entity > abstraction > communication > sign > street sign
4,visual signal,signal,1,545,50,entity > abstraction > communication > signal > visual signal
4,food,solid,26,14455,1300,entity > physical entity > matter > solid > food
4,food,substance,22,12557,1100,entity > physical entity > matter > substance > food
4,material,substance,1,472,50,entity > physical entity > matter > substance > material
4,cliff,geological formation,1,721,50,entity > physical entity > object > geological formation > cliff
4,natural depression,geological formation,1,730,50,entity > physical entity > object > geological formation > natural depression
4,natural elevation,geological formation,5,2902,250,entity > physical entity > object > geological formation > natural elevation
4,shore,geological formation,2,2021,100,entity > physical entity > object > geological formation > shore
4,spring,geological formation,1,791,50,entity > physical entity > object > geological formation > spring
4,point,location,1,540,50,entity > physical entity > object > location > point
4,piece,part,5,2639,250,entity > physical entity > object > part > piece
4,artifact,whole,516,277692,25800,entity > physical entity > object > whole > artifact
4,living thing,whole,410,224317,20500,entity > physical entity > object > whole > living thing
4,natural object,whole,6,3195,300,entity > physical entity > object > whole > natural object
5,sphere,round shape,1,475,50,entity > abstraction > attribute > shape > round shape > sphere
5,light,visual signal,1,545,50,entity > abstraction > communication > signal > visual signal > light
5,baked goods,food,3,1608,150,entity > physical entity > matter > solid > food > baked goods
5,produce,food,23,12847,1150,entity > physical entity > matter > solid > food > produce
5,beverage,food,4,2149,200,entity > physical entity > matter > substance > food > beverage
5,fare,food,1,595,50,entity > physical entity > matter > substance > food > fare
